ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
0.3685 ,-57.8585 ,SER,-99,0.7300 ,21.7244 ,20.2271 ,18.6526 ,Stein et al.2022
0.8183 ,-33.8012 ,SER,-99,0.6372 ,21.3566 ,19.6573 ,18.2046 ,Jacobs et al.2019
0.9602 ,15.0423 ,DEV,-99,0.6439 ,21.8186 ,20.2299 ,18.8619 ,Stein et al.2022
1.9564 ,18.6161 ,SER,-99,0.6189 ,20.7038 ,20.2090 ,19.6692 ,Stein et al.2022
2.5204 ,-35.7296 ,REX,-99,0.4768 ,20.6988 ,19.7377 ,18.8942 ,Huang et al. 2021
2.7167 ,18.5282 ,SER,-99,0.5792 ,21.9672 ,20.4868 ,19.3202 ,Huang et al. 2021
3.2902 ,0.6676 ,REX,0.6930 ,0.8054 ,21.2532 ,20.5728 ,19.4516 ,SuGOHI10 DES
3.3086 ,-56.1443 ,DEV,-99,0.9590 ,23.3187 ,21.7780 ,19.8316 ,Stein et al.2022
3.3758 ,-47.5862 ,REX,-99,0.5693 ,21.2905 ,20.5214 ,19.3423 ,Stein et al.2022
3.9776 ,-63.7715 ,SER,-99,0.6492 ,21.0612 ,19.4847 ,18.0304 ,Jacobs et al.2019
4.0093 ,-13.4169 ,SER,-99,0.4847 ,21.0617 ,19.2340 ,18.1507 ,Huang et al. 2021
4.0930 ,-9.1126 ,SER,-99,0.4431 ,22.0815 ,20.2312 ,19.2119 ,Huang et al. 2021
5.2593 ,-26.5437 ,SER,-99,0.6802 ,23.1742 ,21.2171 ,19.6723 ,Huang et al. 2021
5.6187 ,1.8037 ,DEV,-99,0.7422 ,20.7925 ,19.9967 ,18.4965 ,Huang et al. 2020
6.2945 ,-49.7741 ,SER,-99,0.6880 ,22.0864 ,20.1486 ,18.5906 ,Stein et al.2022
6.9778 ,-47.1915 ,DEV,-99,0.8637 ,23.4736 ,21.3807 ,19.4480 ,Stein et al.2022
7.6017 ,-4.4479 ,DEV,0.7898 ,0.7751 ,22.6026 ,20.8440 ,19.0166 ,Storfer et al. 2022
7.8320 ,-64.3438 ,DEV,-99,0.7953 ,22.1582 ,20.8084 ,19.2207 ,Jacobs et al.2019
8.0136 ,7.6678 ,SER,0.6437 ,0.6490 ,20.8480 ,19.2269 ,17.7199 ,Huang et al. 2021
8.4195 ,-46.5522 ,REX,-99,0.4674 ,20.9275 ,20.5061 ,19.8957 ,Storfer et al. 2022
8.7731 ,-2.1598 ,EXP,0.7811 ,0.6019 ,21.2823 ,20.4672 ,19.3765 ,Stein et al.2022
8.8215 ,-25.5456 ,SER,-99,0.7495 ,21.0097 ,20.2523 ,19.2770 ,Stein et al.2022
8.8610 ,-50.3323 ,DEV,-99,0.5129 ,21.9292 ,20.1426 ,19.0032 ,Stein et al.2022
9.6226 ,-36.7634 ,REX,-99,0.7512 ,21.2158 ,20.3500 ,19.3119 ,Huang et al. 2021
9.6926 ,-29.6019 ,DEV,-99,0.8287 ,23.0587 ,21.3320 ,19.3494 ,Jacobs et al.2019
9.9949 ,-11.4890 ,SER,-99,0.4097 ,21.0563 ,19.1936 ,18.1318 ,Stein et al.2022
10.2876 ,-0.7303 ,DEV,0.5637 ,0.5772 ,21.1408 ,19.5168 ,18.2656 ,Huang et al. 2020
10.5692 ,-5.5844 ,DEV,-99,0.8997 ,21.9745 ,21.1223 ,19.2708 ,Huang et al. 2021
10.9206 ,5.6150 ,SER,0.6298 ,0.5796 ,20.2705 ,19.0637 ,18.0051 ,Stein et al.2022
10.9448 ,-31.1979 ,SER,-99,0.7071 ,22.1303 ,20.1548 ,18.4921 ,Stein et al.2022
11.0219 ,-4.8058 ,SER,0.7724 ,0.7711 ,22.8481 ,20.9150 ,19.0569 ,Huang et al. 2020
11.5461 ,-18.2712 ,SER,-99,0.3160 ,20.1758 ,18.6191 ,17.7769 ,Stein et al.2022
12.1211 ,-61.1384 ,SER,-99,0.5073 ,21.6773 ,19.8661 ,18.7541 ,Stein et al.2022
12.4931 ,2.4544 ,SER,-99,0.4385 ,20.5066 ,20.0994 ,19.5712 ,Stein et al.2022
12.6879 ,5.1953 ,SER,-99,0.3991 ,20.0586 ,18.4351 ,17.5036 ,Huang et al. 2021
12.7302 ,-17.3424 ,REX,-99,0.7519 ,21.7451 ,20.5652 ,19.1433 ,Huang et al. 2021
12.9008 ,-9.3904 ,DEV,-99,0.7134 ,22.3069 ,20.3294 ,18.6325 ,Huang et al. 2021
13.7833 ,-27.4021 ,SER,-99,0.6132 ,21.3619 ,19.6883 ,18.2873 ,Stein et al.2022
