ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
0.0691,-62.646,SER,,0.2377,20.0335,18.6976,17.668
0.1209,-36.9835,SER,,0.2512,19.4942,18.1877,17.4579
0.1463,-37.4182,SER,,0.1473,19.1133,18.0798,17.4195
0.2425,28.3941,SER,0.5778,0.5791,21.2461,19.3438,17.9533
0.2574,-63.3498,SER,,0.5595,20.5455,19.8489,19.2406
0.324,30.3395,REX,,0.2832,21.0926,19.7263,18.9423
0.3551,18.2338,SER,0.2645,0.26,19.1653,17.7181,16.9298
0.3595,-63.7016,SER,,0.3146,20.3208,18.7764,17.9905
0.4543,-54.1101,SER,,0.0457,18.2976,17.815,17.5348
0.4852,-45.7878,SER,,0.4827,21.7605,20.059,18.9445
0.6075,30.0614,SER,0.3094,0.2892,19.053,17.4834,16.6263
0.6763,-0.2222,SER,0.2989,0.3202,19.0077,17.3847,16.4867
0.7487,-62.6672,SER,,0.452,20.7811,19.1049,18.069
0.8442,-4.0878,SER,0.5582,0.5764,21.5682,19.709,18.3599
0.9246,14.0514,SER,0.2292,0.2313,18.9437,17.4756,16.6376
1.0439,7.4935,SER,,0.3113,20.4949,18.9117,18.0281
1.3455,10.2746,SER,,0.2847,19.1316,17.4935,16.6106
1.3465,-38.1885,SER,,0.3069,20.738,19.2747,18.4597
1.4321,1.2859,DEV,0.3904,0.3721,19.371,17.5637,16.6356
1.7132,17.4217,SER,,0.3271,20.3189,18.9251,17.9995
1.7373,21.4946,DEV,,0.8567,23.0628,21.7145,19.9061
1.772,1.4414,DEV,,0.451,21.2217,19.6512,18.6822
1.8913,-61.1177,SER,,0.6677,21.4703,19.9115,18.4318
1.9847,-4.9328,SER,,0.3933,19.739,17.8814,16.9314
2.0823,-1.5778,SER,,0.5681,20.4243,19.1117,18.1014
2.0881,1.1794,SER,0.379,0.3607,20.4829,18.7276,17.8133
2.1533,-8.9962,SER,,0.3419,20.8803,19.4476,18.5883
2.2024,0.2793,SER,0.3205,0.2995,19.8802,18.2781,17.3602
2.2229,33.4455,EXP,,0.1552,20.5138,20.0176,19.7366
2.2665,32.8237,SER,,0.1372,18.4491,17.4316,16.3415
2.3176,5.4292,SER,,0.2942,20.4397,19.4404,18.7651
2.3955,-36.1669,SER,,0.4122,20.5642,18.6971,17.7527
2.5184,1.6215,REX,,0.3919,21.7623,20.4548,19.7193
2.5614,12.8537,SER,,0.2742,19.9584,18.4164,17.5147
2.8652,-9.5481,DEV,,0.846,23.7511,21.8558,19.8157
2.874,-8.5401,DEV,,0.3349,21.1442,19.5288,18.7218
3.0657,16.3379,DEV,,0.6938,22.4824,20.9146,19.4254
3.1218,-33.7792,DEV,,0.702,23.3975,21.391,19.7838
3.209,-38.6007,SER,,0.3521,19.8059,18.1123,17.2259
3.2262,-12.9818,DEV,,0.2208,20.6787,19.4603,18.7804
3.3625,-30.5827,DEV,,0.7278,23.6123,21.5291,19.8676
3.4961,-13.8476,SER,,0.2893,21.0128,19.7524,18.4342
3.52,-28.5313,DEV,,0.6311,22.1931,20.305,18.8431
3.5934,5.2623,DEV,,0.4568,22.494,20.8653,19.9121
3.6379,23.4845,SER,,0.2495,19.9474,18.4796,17.6501
3.7531,26.8591,SER,0.4048,0.3766,19.3074,17.516,16.5691
3.787,-6.9052,DEV,,0.6269,22.9613,21.0774,19.623
3.8494,-33.8242,SER,,0.2224,18.9685,17.7026,17.0228
3.9365,33.5515,SER,0.2511,0.2467,18.9214,17.4478,16.6171
4.0731,-12.0265,REX,,0.6262,22.898,21.0508,19.6578
4.142,-29.6471,SER,0.6955,0.6524,22.2669,20.4749,18.9378
4.4,-11.8218,DEV,,0.4975,22.461,20.8393,19.7637
4.4252,24.8998,REX,0.5592,0.4819,21.2878,19.6299,18.5131
4.4906,-56.1451,EXP,,0.4311,21.4522,20.1427,19.1711
4.5005,-49.8663,SER,,0.4022,20.0172,18.5966,17.8014
4.5373,24.4728,SER,,0.2962,20.6185,19.058,18.2343
4.636,-6.7648,SER,,0.1931,20.2199,19.0099,18.2634
4.8217,16.921,SER,,0.1992,19.1139,17.8092,16.9896
4.901,32.4253,SER,,0.0823,18.469,17.5256,16.8476
5.0888,-30.0116,DEV,,0.689,22.6069,20.7716,19.1834
5.1486,-53.3937,SER,,0.2653,20.4992,19.9621,19.8006
5.2039,-6.3717,SER,,0.7825,22.9505,21.0138,19.1546
5.2926,-43.4915,SER,,0.5999,21.2576,20.0677,19.1585
5.413,-54.959,EXP,,0.5422,21.6894,20.3292,19.1378
5.5754,-49.6167,SER,,0.2521,18.7257,17.4794,16.716
5.6116,3.7074,DEV,,0.6465,22.9988,21.2389,19.8515
5.6252,-13.5769,SER,,0.2541,20.9277,19.6083,18.8561
5.9582,29.2865,SER,,0.2268,20.4345,19.1383,18.3975
6.016,18.0711,SER,0.5877,0.5991,22.0963,20.3216,19.0025
6.0513,-63.6469,SER,,0.6226,21.6279,19.8966,18.5089
6.3656,-6.5848,SER,,0.1398,20.0481,19.6267,19.3664
6.5277,-39.586,DEV,,0.4789,20.3242,19.3907,18.2772
6.5929,15.4729,SER,,0.2004,19.2777,18.2309,17.4382
6.6165,30.5998,DEV,,0.3118,21.0099,19.9849,18.659
6.7111,19.8964,SER,0.7678,0.7535,22.2893,20.4724,18.6785
6.7875,-12.5879,SER,,0.2533,19.0455,17.9322,17.2212
6.8132,-44.3824,SER,,0.3214,19.2176,17.574,16.7524
7.1508,-63.1562,SER,,0.1411,19.2595,18.9454,18.7558
7.3644,-33.6412,SER,,0.2551,20.9167,19.5374,18.8172
7.6321,-7.7127,SER,0.535,0.5207,21.4119,19.5694,18.3765
7.6905,-50.9963,SER,,0.6031,21.7872,20.4006,19.266
7.7887,-41.7198,EXP,,0.6228,21.2993,20.159,19.1251
7.7953,18.1099,EXP,0.5657,0.5797,20.7726,19.9414,19.0157
7.8163,-14.3293,SER,,0.4791,21.6729,19.7296,18.6144
7.8614,-13.4433,REX,,0.6335,22.3943,20.9611,19.8358
7.9332,-55.7491,SER,,0.3963,20.8226,19.7024,18.8124
7.9631,-31.4441,SER,,0.4315,20.0548,18.5967,17.5909
8.1108,-37.4875,SER,,0.7476,22.3929,20.6247,18.9095
8.1361,-52.7481,SER,,0.3551,20.2373,18.5251,17.6635
8.6161,-13.8142,DEV,,0.6929,22.6512,20.8201,19.2439
8.6647,-15.9965,SER,,0.2585,19.7834,18.3832,17.6521
8.7617,-44.7854,REX,0.7955,0.8023,21.5216,20.7047,19.4611
8.763,-28.0538,EXP,,0.7414,21.6074,20.6607,19.5194
8.9432,-21.7288,DEV,,0.6062,21.1434,19.6717,18.426
9.0675,-13.3276,REX,,0.9302,23.1558,21.728,19.8975
9.3501,-10.5888,SER,,0.2772,19.0181,17.8434,17.1292
9.9581,-47.6456,SER,,0.6772,22.4197,20.5145,18.9506
10.0732,-40.4107,SER,,0.7042,21.9287,20.1254,18.5109
10.1832,33.0013,SER,,0.1947,20.733,20.0581,19.5084
10.2066,-52.2115,DEV,,0.5411,22.7451,21.0824,19.9412
10.3854,19.8874,SER,,0.1237,20.1695,19.7076,19.3684
10.6538,6.4137,SER,0.5046,0.5134,20.7282,19.1301,17.9864
