ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
0.0573 ,-1.3506 ,SER,-99,0.4482 ,21.0968 ,19.2014 ,18.1650 ,
0.0691 ,-62.6460 ,SER,-99,0.2377 ,20.0335 ,18.6976 ,17.6680 ,
0.1209 ,-36.9835 ,SER,-99,0.2512 ,19.4942 ,18.1877 ,17.4579 ,
0.1463 ,-37.4182 ,SER,-99,0.1473 ,19.1133 ,18.0798 ,17.4195 ,
0.2425 ,28.3941 ,SER,0.5778,0.5791 ,21.2461 ,19.3438 ,17.9533 ,
0.2574 ,-63.3498 ,SER,-99,0.5595 ,20.5455 ,19.8489 ,19.2406 ,
0.2752 ,23.7697 ,EXP,-99,0.5511 ,23.0890 ,21.3406 ,19.9998 ,
0.3240 ,30.3395 ,REX,-99,0.2832 ,21.0926 ,19.7263 ,18.9423 ,
0.3551 ,18.2338 ,SER,0.2645,0.2600 ,19.1653 ,17.7181 ,16.9298 ,
0.3595 ,-63.7016 ,SER,-99,0.3146 ,20.3208 ,18.7764 ,17.9905 ,
0.3685 ,-57.8585 ,SER,-99,0.7300 ,21.7244 ,20.2271 ,18.6526 ,Stein et al.2022
0.3685 ,-57.8585 ,SER,-99,0.7300 ,21.7244 ,20.2271 ,18.6526 ,
0.4543 ,-54.1101 ,SER,-99,0.0457 ,18.2976 ,17.8150 ,17.5348 ,
0.4852 ,-45.7878 ,SER,-99,0.4827 ,21.7605 ,20.0590 ,18.9445 ,
0.6075 ,30.0614 ,SER,0.3094,0.2892 ,19.0530 ,17.4834 ,16.6263 ,
0.6763 ,-0.2222 ,SER,0.2989,0.3202 ,19.0077 ,17.3847 ,16.4867 ,
0.7487 ,-62.6672 ,SER,-99,0.4520 ,20.7811 ,19.1049 ,18.0690 ,
0.7862 ,-4.0204 ,SER,0.6659,0.6429 ,22.0599 ,20.5021 ,19.1221 ,
0.8183 ,-33.8012 ,SER,-99,0.6372 ,21.3566 ,19.6573 ,18.2046 ,Jacobs et al.2019
0.8331 ,-54.4223 ,DEV,-99,0.6791 ,21.1924 ,19.8538 ,18.4974 ,
0.8442 ,-4.0878 ,SER,0.5582,0.5764 ,21.5682 ,19.7090 ,18.3599 ,
0.9246 ,14.0514 ,SER,0.2292,0.2313 ,18.9437 ,17.4756 ,16.6376 ,
0.9602 ,15.0423 ,DEV,-99,0.6439 ,21.8186 ,20.2299 ,18.8619 ,Stein et al.2022
1.0439 ,7.4935 ,SER,-99,0.3113 ,20.4949 ,18.9117 ,18.0281 ,
1.3455 ,10.2746 ,SER,-99,0.2847 ,19.1316 ,17.4935 ,16.6106 ,
1.3465 ,-38.1885 ,SER,-99,0.3069 ,20.7380 ,19.2747 ,18.4597 ,
1.3849 ,-34.5910 ,SER,-99,0.6938 ,22.4410 ,21.1984 ,19.8333 ,
1.4321 ,1.2859 ,DEV,0.3904,0.3721 ,19.3710 ,17.5637 ,16.6356 ,
1.7132 ,17.4217 ,SER,-99,0.3271 ,20.3189 ,18.9251 ,17.9995 ,
1.7373 ,21.4946 ,DEV,-99,0.8567 ,23.0628 ,21.7145 ,19.9061 ,
1.7720 ,1.4414 ,DEV,-99,0.4510 ,21.2217 ,19.6512 ,18.6822 ,
1.8913 ,-61.1177 ,SER,-99,0.6677 ,21.4703 ,19.9115 ,18.4318 ,
1.9120 ,-40.9764 ,EXP,-99,0.7147 ,22.7648 ,21.0121 ,19.4060 ,
1.9564 ,18.6161 ,SER,-99,0.6189 ,20.7038 ,20.2090 ,19.6692 ,Stein et al.2022
1.9847 ,-4.9328 ,SER,-99,0.3933 ,19.7390 ,17.8814 ,16.9314 ,
2.0823 ,-1.5778 ,SER,-99,0.5681 ,20.4243 ,19.1117 ,18.1014 ,
2.0881 ,1.1794 ,SER,0.379,0.3607 ,20.4829 ,18.7276 ,17.8133 ,
2.1533 ,-8.9962 ,SER,-99,0.3419 ,20.8803 ,19.4476 ,18.5883 ,
2.2024 ,0.2793 ,SER,0.3205,0.2995 ,19.8802 ,18.2781 ,17.3602 ,
2.2229 ,33.4455 ,EXP,-99,0.1552 ,20.5138 ,20.0176 ,19.7366 ,
2.2665 ,32.8237 ,SER,-99,0.1372 ,18.4491 ,17.4316 ,16.3415 ,
2.3176 ,5.4292 ,SER,-99,0.2942 ,20.4397 ,19.4404 ,18.7651 ,
2.3955 ,-36.1669 ,SER,-99,0.4122 ,20.5642 ,18.6971 ,17.7527 ,
2.5184 ,1.6215 ,REX,-99,0.3919 ,21.7623 ,20.4548 ,19.7193 ,
2.5204 ,-35.7296 ,REX,-99,0.4768 ,20.6988 ,19.7377 ,18.8942 ,Huang et al. 2021
2.5614 ,12.8537 ,SER,-99,0.2742 ,19.9584 ,18.4164 ,17.5147 ,
2.7167 ,18.5282 ,SER,-99,0.5792 ,21.9672 ,20.4868 ,19.3202 ,Huang et al. 2021
2.8652 ,-9.5481 ,DEV,-99,0.8460 ,23.7511 ,21.8558 ,19.8157 ,
2.8740 ,-8.5401 ,DEV,-99,0.3349 ,21.1442 ,19.5288 ,18.7218 ,
3.0657 ,16.3379 ,DEV,-99,0.6938 ,22.4824 ,20.9146 ,19.4254 ,
3.1218 ,-33.7792 ,DEV,-99,0.7020 ,23.3975 ,21.3910 ,19.7838 ,
3.2090 ,-38.6007 ,SER,-99,0.3521 ,19.8059 ,18.1123 ,17.2259 ,
3.2262 ,-12.9818 ,DEV,-99,0.2208 ,20.6787 ,19.4603 ,18.7804 ,
3.2902 ,0.6676 ,REX,0.69296753,0.8054 ,21.2532 ,20.5728 ,19.4516 ,SuGOHI10 DES
3.3086 ,-56.1443 ,DEV,-99,0.9590 ,23.3187 ,21.7780 ,19.8316 ,Stein et al.2022
3.3625 ,-30.5827 ,DEV,-99,0.7278 ,23.6123 ,21.5291 ,19.8676 ,
3.3758 ,-47.5862 ,REX,-99,0.5693 ,21.2905 ,20.5214 ,19.3423 ,Stein et al.2022
3.4961 ,-13.8476 ,SER,-99,0.2893 ,21.0128 ,19.7524 ,18.4342 ,
3.5200 ,-28.5313 ,DEV,-99,0.6311 ,22.1931 ,20.3050 ,18.8431 ,
3.5934 ,5.2623 ,DEV,-99,0.4568 ,22.4940 ,20.8653 ,19.9121 ,
3.6379 ,23.4845 ,SER,-99,0.2495 ,19.9474 ,18.4796 ,17.6501 ,
3.7531 ,26.8591 ,SER,0.4048,0.3766 ,19.3074 ,17.5160 ,16.5691 ,
3.7870 ,-6.9052 ,DEV,-99,0.6269 ,22.9613 ,21.0774 ,19.6230 ,
3.8494 ,-33.8242 ,SER,-99,0.2224 ,18.9685 ,17.7026 ,17.0228 ,
3.9365 ,33.5515 ,SER,0.2511,0.2467 ,18.9214 ,17.4478 ,16.6171 ,
3.9776 ,-63.7715 ,SER,-99,0.6492 ,21.0612 ,19.4847 ,18.0304 ,Jacobs et al.2019
4.0093 ,-13.4169 ,SER,-99,0.4847 ,21.0617 ,19.2340 ,18.1507 ,Huang et al. 2021
4.0731 ,-12.0265 ,REX,-99,0.6262 ,22.8980 ,21.0508 ,19.6578 ,
4.0930 ,-9.1126 ,SER,-99,0.4431 ,22.0815 ,20.2312 ,19.2119 ,Huang et al. 2021
