ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
0.0127,-3.5457,SER,0.5973,0.6039,21.5506,19.5517,18.0669
0.0174,2.328,SER,0.6443,0.6584,21.5687,19.8598,18.3563
0.0312,10.6124,SER,-99,0.2386,19.2794,17.9535,17.1362
0.0358,8.9542,SER,0.28,0.244,19.1569,17.8133,16.9866
0.0376,-11.9394,SER,-99,0.2818,20.9369,19.7286,18.5258
0.0573,-1.3506,SER,-99,0.4482,21.0968,19.2014,18.165
0.0691,-62.646,SER,-99,0.2377,20.0335,18.6976,17.668
0.0701,-62.6461,SER,-99,0.3384,20.7379,20.1575,19.9809
0.1162,-1.0432,DEV,-99,0.4455,20.0166,18.1918,17.1429
0.1314,13.4945,REX,0.2,0.3297,20.6148,18.9773,18.3072
0.1407,7.0547,SER,-99,0.1413,19.8947,18.866,18.0953
0.145,-54.7209,SER,-99,0.3152,19.837,18.3895,17.6761
0.1457,-11.0077,SER,-99,0.2405,19.5308,18.2031,17.4694
0.1463,-37.4182,SER,-99,0.1473,19.1133,18.0798,17.4195
0.1469,24.5503,SER,-99,0.3321,21.0077,19.5781,18.3798
0.156,-47.5462,SER,-99,0.2943,18.4197,16.8352,16.0372
0.1649,13.3875,SER,-99,0.7261,22.5509,20.5892,18.8836
0.1839,11.3541,DEV,0.6694,0.732,22.7725,20.6885,18.9189
0.1955,-64.8805,SER,-99,0.3173,20.8928,19.83,19.2849
0.2068,20.9176,SER,-99,0.3918,20.6964,20.2369,19.7034
0.2316,-4.8675,REX,-99,0.1956,19.6273,19.0253,18.6682
0.2317,2.7998,DEV,0.7864,0.7944,22.6951,20.7134,18.8277
0.2322,-36.798,SER,-99,0.1276,18.3546,17.3653,16.7187
0.2495,-38.4725,SER,-99,0.6497,20.9965,19.9533,18.9934
0.2684,-0.5903,SER,-99,0.5835,21.1072,19.1639,17.777
0.2765,-3.7892,SER,-99,0.1374,19.82,19.2748,18.8997
